slug,name,category,website,tagline,what_is,ai4ntp_take,who_for,pricing_summary,free_tier,g2_score,g2_reviews,g2_as_of,g2_source,is_private,is_network,affiliate_url,alternatives,updated
hermes,Hermes,AI agents & automation,https://hermes-agent.nousresearch.com,"A desktop AI agent with persistent memory, skills, and model switching.","Hermes is a desktop AI agent built by Nous Research that runs directly on your own computer instead of living in a browser tab. It keeps persistent memory across sessions, so it remembers how you work instead of starting over each time. You can save repeat tasks as reusable skills, schedule cron jobs so it works on a timer without you, and swap the underlying model, choosing between frontier, cheap, free, or locally hosted options depending on what the task needs.","Hermes was the centerpiece of Justin's Episode 004 segment on 7 AI tools nobody had heard of. He runs it as a desktop agent with persistent memory that never forgets how he works, saves repeat tasks as skills to cut token costs, and schedules cron jobs, including a daily AI news scout. On stage he used it live to turn 533 attendee records into a finished cohort analysis report, switching models mid task: frontier for hard reasoning, something cheap like Kimi for grunt work, free or local when the job doesn't need horsepower.

It stays in the stack because it treats memory, cost, and model choice as things you control instead of fixed defaults, which matters for an operator running high velocity marketing operations. Fewer repeated instructions, lower cost per task, and work that keeps running while you're doing something else. Justin runs a free setup boot camp for attendees who want it configured on their own machine.","Hermes runs locally on your own computer, and features like cron jobs, saved skills, and swapping the model under the hood sit closer to power-user territory than a simple chat app. Setup is guided rather than technical from scratch, and Justin runs a free boot camp to walk attendees through configuring it. If you already lean on one AI tool daily and want it to remember your work and handle tasks unattended, it's worth the setup. If you want something you never touch after install, look elsewhere first.","Desktop app; you choose the model under the hood, including free and locally hosted options (stated on the live).",true,,,,,,,,openclaw,2026-06-19
gemini,Gemini / Nano Banana,AI assistants & research,https://gemini.google.com,"Google's AI assistant and model family, including image-generation workflows Alec called Nano Banana.","Gemini is Google's family of AI models and the assistant built on top of them, handling text, image, code, and multimodal work in one interface. It's available as a standalone chat product at gemini.google.com, with a free tier, and its models also power AI features inside other Google products like Search, Workspace, and Android.

Nano Banana isn't a separate product. It's the name Alec Saluga used in Episode 005 for a Gemini image-generation workflow: taking an uploaded image, like a logo, and generating a realistic mockup of it applied to a product.","In Episode 005, Alec Saluga used what he called the Nano Banana workflow, a Gemini image-generation trick, to build a feature for Crumb B2B, one of three companies built live in the episode. A buyer uploads their logo, and Gemini generates a mockup of it printed directly on a batch of cookies, before the buyer places an order.

We keep Gemini in the stack because that turns a sales pitch into a preview. Instead of telling a buyer ""we can put your logo on cookies"" and hoping they picture it right, the buyer sees it. The practical takeaway for an operator: if what you sell has any visual output, a logo, a design, a physical product, you can now prototype a ""see it before you buy it"" feature with Gemini's image tools instead of leaving it as a slide.","Day to day, Gemini is as approachable as any consumer AI chatbot: free to start at gemini.google.com, nothing to install, ask it a question or give it a prompt. Building the Nano Banana feature Alec used for Crumb B2B, wiring image generation into a live web app so a customer's upload triggers an instant mockup, is development work. You don't need to write that code. You need to know the feature is possible, describe what you want built, and have a developer or an AI coding tool connect it to Gemini's API for you.",Consumer plans and API pricing vary by product; see Google's Gemini pricing pages.,true,,,,,,,,"chatgpt, claude, grok",2026-07-01
grok,Grok,AI assistants & research,https://grok.com,"xAI's conversational model, mentioned as one of the model options available inside Higgsfield.","Grok is xAI's AI assistant and model family for chat, reasoning, and content generation. You can use it directly at grok.com, or through X, the social platform that has Grok built in as a chat feature.

Like other general-purpose AI assistants, Grok answers questions, drafts and edits text, and can generate images and video depending on the product surface. It also shows up as a selectable model inside multi-model apps like Higgsfield, where you can switch models mid-project to compare outputs.","In Episode 005, Alec Saluga built three real companies in an hour, including a bakery called Milk and Cookies, using Higgsfield as a model hub for image and video generation. Grok came up as one of the models available inside that hub: when an output from one model fell flat, Alec could switch to another, including Grok, and keep iterating without starting over. Grok wasn't the model doing the heavy lifting; it was part of the lineup operators could reach for mid-build.

We keep Grok in the stack because model-switching is a real workflow, not a nice-to-have: different models render different styles, and having a fallback saves a rebuild when one output misses. The takeaway for you: you don't need to learn Grok specifically. You need to know that inside tools like Higgsfield, swapping the underlying model is often faster than fighting a prompt on a model that isn't cooperating.","Grok itself is a consumer-friendly chat assistant, similar in feel to ChatGPT, so you can use it directly without any technical background. If you're comparing AI models to find the best writing, image, or video output for a project, Grok is one more option worth trying alongside ChatGPT, Claude, and Gemini. You won't need special setup, just an account and a prompt.",Free and paid access varies by plan and product; see Grok/X for current details.,true,,,,,,,,"chatgpt, claude, gemini",2026-07-01
visual-studio-code,Visual Studio Code,AI coding agents,https://code.visualstudio.com,"Microsoft's free code editor, used as Justin's local workspace for Claude Code.","Visual Studio Code, often shortened to VS Code, is a free source-code editor built by Microsoft. It opens a folder of files as a project and adds a syntax-highlighted editor, an integrated terminal, built-in Git support, and a large library of extensions on top of plain text editing.

Unlike a full IDE built around one language's toolchain, VS Code stays lightweight and works with almost any programming language through extensions. It runs on Windows, Mac, and Linux and is widely used among professional developers.","In Episode 005, Justin used VS Code as the local workspace while building three real companies in one hour, including the bakery Milk and Cookies. He dictated the product brief, handed it to Claude Code to write the marketplace, then pulled Claude Design's brand files back into the VS Code project to finish the build. VS Code didn't write any of the code itself. It held the project, ran the terminal commands, and let Justin see every file Claude Code touched.

We keep VS Code in the stack because it's the one place AI-generated code stops being abstract and becomes a folder you can open, run, and ship. Claude Code and Codex both write the code, but you still need somewhere to view the result, check it into Git, and hand it off to a designer or another tool. The practical takeaway is this: you don't need to master VS Code, but it helps to know it exists as the workbench sitting underneath the AI tools you actually use.","VS Code is built for people who write and manage code, so on its own it's a technical tool, not a beginner app. If you're using Claude Code or Codex to build something, VS Code is likely already running underneath as the workspace where that AI writes and organizes your project's files. You don't need to learn it to benefit from it, but knowing it's there helps you understand what the code actually looks like once someone hands it to you.",Free.,true,,,,,,,,"claude-code, codex",2026-07-01
vercel,Vercel,Hosting & infrastructure,https://vercel.com,Frontend cloud hosting for deploying web apps quickly from code or AI-built prototypes.,"Vercel is a cloud platform for deploying frontend applications: websites, static sites, serverless functions, and full-stack JavaScript apps. You connect a code repository, or push code directly, and Vercel builds and hosts it, giving you a live URL without requiring you to set up your own servers.

It has become a common publishing target for AI-assisted app builders. When you build something with an AI coding tool, Vercel is often the platform that turns that code into a working website anyone can visit.","In Episode 005, Vercel came up twice in the same conversation. Alec Saluga pointed out that Lovable can publish an app straight to the web without you manually setting up a separate GitHub repository and Vercel deployment. Justin Novak then showed the payoff: the Milk and Cookies bakery prototype, built with AI in one hour, sitting live on a Vercel app URL that anyone could open in a browser.

We keep Vercel in the stack because it is the fastest bridge between an AI-generated app and a real website you can send someone. Plenty of AI builders can produce an app; Vercel is what turns that output into a URL that survives a browser refresh. The practical takeaway: you rarely need to touch Vercel directly. Most AI app builders either publish to it automatically or hand you a one-click deploy option, so the tool matters less than knowing it's the thing making your prototype a live link.","Vercel itself is a developer tool. Real, hands-on usage involves GitHub repositories, build settings, and environment variables, and that side of it is genuinely technical. But if you're building with AI tools like Lovable that publish straight to Vercel, you may never see any of that. The AI or the app builder handles the deployment, and what lands in your hands is just a live URL. Worth understanding what it does, even if you never log in yourself.","Free tier for personal projects; paid plans for teams, scale, and commercial usage.",true,,,,,,,,"digitalocean, github",2026-07-01
dafont,DaFont,Design & brand,https://www.dafont.com,A searchable font-download library used for quick brand typography exploration.,"DaFont is a searchable library of downloadable fonts, sorted by style, theme, and license. Instead of browsing one foundry's catalog, you scroll through thousands of typefaces (script, display, handwriting, retro, and more) submitted by independent designers, preview how your own text looks in each one, and download the file directly.

Every font's page states its license, since many are free for personal use only and require a separate commercial license. It's not an AI tool. It's a raw materials source: a fast way to see what typefaces exist before you commit to a brand direction.","Justin used DaFont while shaping the brand for Milk and Cookies, one of three companies built live with AI in Episode 005. Before asking any AI tool to generate a logo or brand system, he needed a type direction, something that felt like the bakery rather than a generic startup look. DaFont let him search by theme, pull up a shortlist of candidates, and settle on a look instead of guessing blind.

That's the actual role DaFont plays in the stack: not part of the AI pipeline, but the human taste input that comes before it. AI brand and logo tools are good at execution but bad at knowing what you want, so a quick pass through DaFont gives you a reference point to hand the AI instead of an open-ended prompt. The takeaway for operators: spend a few minutes here before you touch any AI design tool, since it's the cheapest way to get a brand system that looks intentional instead of default.","DaFont is genuinely easy, no signup, no code, just search and download. If you're picking fonts for a logo, deck, or website and want options beyond the handful baked into whatever design tool you're using, it's worth a few minutes. The one thing to watch is licensing: read the license line on each font page before using it commercially, since ""free"" often means free for personal use only. Beyond that, it's about as approachable as a tool gets.",Free to browse; individual font licenses vary.,true,,,,,,,,"google-fonts, figma, canva",2026-07-01
postgres,Postgres,Data & backend,https://www.postgresql.org,Open-source relational database used as the likely production database for Milk and Cookies.,"Postgres, formally PostgreSQL, is an open-source relational database, a system that stores data in structured tables and lets applications reliably query and update it using SQL. It has been developed for decades and is known for stability, standards compliance, and handling serious production workloads without falling over.

It's free to install and run yourself, and its extension ecosystem covers things like full-text search and geographic data. Most cloud providers also sell managed Postgres, so a team can get the reliability without managing the servers directly.","In Episode 005, Justin built three real companies with AI in about an hour, including a bakery marketplace called Milk and Cookies. When we asked what it would take to turn that prototype into an actual production business, Postgres is the database he named. The prototype itself was vibe-built fast, but running a real marketplace, with real orders and real customer data, needs a data layer that won't lose information or fall over under real traffic.

We keep Postgres in the stack because it's the boring, dependable choice underneath a flashy AI-built front end. It's free to run, open source, and has been a proven choice for production data for decades, which makes it a safe pick even when everything above it was built in an afternoon. The takeaway for an operator: build your idea fast with AI, but the moment you're taking real orders or storing real customer data, put a database like Postgres under it instead of hoping a demo holds up.","Postgres itself is a technical tool. Setting it up, writing queries, and managing a schema is developer work, not something you'd do by hand as an operator. In practice, this is fine: your AI coding assistant or a developer sets it up and talks to it for you, and services like Supabase wrap Postgres in a friendlier interface. It's worth knowing the name and roughly what it does, since it will likely be running quietly underneath any real product you build.",Open source and free self-hosted; managed hosting costs vary.,true,,,,,,,,supabase,2026-07-01
trpc,tRPC,Data & backend,https://trpc.io,TypeScript API framework Justin mentioned as a possible production API layer.,"tRPC is a TypeScript framework for building type-safe APIs without writing separate schema or client-generation layers. If your frontend and backend are both written in TypeScript, tRPC lets them share types directly: change a function on the server and your editor flags every place on the client that would break, before you ever run the code.

It skips the usual extra step other API styles require, hand-writing a schema (like GraphQL or OpenAPI) and generating client code from it. tRPC is open source, free, and built for teams already working in TypeScript on both ends of an application.","In Episode 005, where Justin built three real companies with AI in one hour, he named tRPC, alongside plain REST, as the API layer a production version of the Milk and Cookies bakery marketplace would actually need. It wasn't built during the episode itself. It was the answer to the question that comes after the demo: what turns a working prototype into something that can take real orders and hold up under real traffic.

We keep tRPC in the stack because it names a real fork in the road every builder eventually hits. REST is an architectural style, not a product; tRPC is one of the concrete tools for building that type-safe API layer without extra ceremony. You won't touch tRPC yourself. The takeaway is simpler: when someone tells you your AI-built prototype needs ""a real API layer,"" this is one of the two standard answers, and hearing it is a sign the project is ready to move from demo to production.","tRPC is a developer tool, not something you'll open or configure directly, and it should not be mistaken for beginner-friendly software. It matters here as vocabulary: it's one of the two things, alongside REST, that ""the API layer"" of a production app gets built on. Your developer or AI coding assistant chooses and runs it, not you. Knowing the term still helps, so you can follow a technical conversation about turning your AI-built prototype into something that can actually process real orders.",Open source and free.,true,,,,,,,,,2026-07-01
stripe,Stripe,Payments & commerce,https://stripe.com,"Payment infrastructure for subscriptions, checkout, and marketplace money movement.","Stripe is a payments platform for online checkout, subscriptions, invoicing, marketplace payments, fraud tools, and financial infrastructure. It plugs into a website or app and handles the parts of taking money online that are hard to build from scratch: card processing, recurring billing, tax calculation, fraud screening, and paying out funds to sellers or vendors.

Businesses use it to charge a customer once, bill them on a schedule, or split payments across a marketplace with multiple sellers. It is a widely used payment processor for online businesses, from small subscription products to large marketplaces.","In Episode 005, where Justin built three real companies with AI in one hour, he named Stripe as the payment layer for Milk and Cookies, a bakery subscription marketplace. Once that prototype needed to charge real customers and manage recurring subscriptions, Stripe was the practical answer: infrastructure built for production payments, not a placeholder checkout button.

We keep it in the stack because it marks the point where a demo turns into a real business: the moment you need to collect actual money, you need infrastructure that handles cards, recurring billing, and payouts correctly. The practical takeaway for an operator building with AI is this: you probably will not write Stripe's integration code yourself, but you should know it is the layer sitting between your AI-built app and your bank account, and that an AI agent or a developer wires it in on your behalf.","Stripe itself is technical, payment infrastructure meant to be integrated by a developer, not a tool you learn by clicking around as a first-time user. That's fine if you're running a business with AI's help: you don't need to understand Stripe's API to benefit from it. What matters is knowing it exists as the plumbing behind checkout and subscriptions, so when an AI agent or developer wires it in for you, you recognize the name and know what it's handling. Once it's set up, many operators use Stripe's dashboard directly to check payouts, issue refunds, and manage pricing themselves. That part doesn't require code.",Usage-based transaction fees; see Stripe for current pricing.,false,,,,,,,,,2026-07-01
twilio,Twilio,Messaging & channels,https://www.twilio.com,"Communications APIs for SMS, notifications, and customer messaging.","Twilio is a communications API platform that lets software send and receive SMS, voice calls, email, push notifications, and identity verification codes. Instead of building phone and carrier infrastructure from scratch, a developer plugs into Twilio's APIs to trigger a text message, place a call, or confirm a phone number, and Twilio handles the carrier connections, delivery, and compliance behind the scenes.

It is the layer many consumer apps rely on to actually reach a customer's phone. Order confirmations, appointment reminders, two-factor codes, and delivery or driver alerts typically run through a service like Twilio rather than being built in-house.","On Episode 005, where Justin built three real companies with AI in one hour, Twilio showed up in the production stack behind Milk and Cookies, a bakery marketplace. Once the prototype worked and real customers and drivers were involved, Twilio became the piece handling actual SMS and push-style notifications: order updates and delivery alerts, the messages that need to land on a real phone, not just work in a demo.

That split is the real lesson. AI can spin up a working marketplace app fast, but once money and real people are moving through it, you need infrastructure that companies like Twilio have spent years hardening for deliverability and reliability. The practical takeaway is not to learn Twilio's API yourself. It is to know that SMS and push notifications are a solved problem you hand off, either to a developer or to the AI building your app, the moment your prototype needs to reach a real customer's phone.","Twilio is developer infrastructure, not a tool you log into and click around in. If you are running a marketplace, booking, or delivery product, you likely will not touch Twilio's API yourself. A developer or the AI building your app wires it in. What matters for you is knowing it exists: when your prototype needs to send real texts, calls, or verification codes to real customers, Twilio (or something like it) is the piece that makes that reliable at scale.",Usage-based pricing; see Twilio for current rates.,false,,,,,,,,"sendgrid, telegram",2026-07-01
instantly,Instantly,Marketing & growth,https://instantly.ai,Cold email outreach platform for sending at scale across many inboxes while protecting deliverability.,"Instantly is a cold email outreach platform built for sending campaigns at scale while protecting sender reputation. It lets you connect and warm up many email accounts, then rotates sending across them so large volumes are less likely to get flagged as spam.

It includes a lead database, email sequencing and automation, inbox warm-up, and deliverability tools, plus a unified inbox for managing replies. It is aimed at agencies, sales teams, and founders running outbound at volume.","Alec Saluga runs Instantly as the sending layer of his cold-email agent in Session 006. The agent scrapes and enriches a prospect list (with Apify and Codex), writes a hyper-personalized email for each lead, and pushes it into Instantly to send. In the seven days before the session, one client's sequence went out to roughly 1,700 people and produced 112 sales opportunities, reply and opportunity rates Alec said are impossible without the AI layer feeding it.

We keep Instantly in the stack because it handles the boring, load-bearing part of cold outreach: sending at volume without torching your primary domain. It rotates across many warmed inboxes, manages deliverability, and runs the sequence, which frees the AI to focus on the part that actually moves reply rates, the personalization. The lesson from the session is that the sending tool is a commodity; the edge is the enrichment and the per-lead message you feed into it.","Instantly is for anyone running outbound cold email at volume: agencies, sales teams, and founders. It handles the deliverability and sending mechanics, but it is only as good as the list and the message you put into it. The use we recommend pairs it with an AI layer (enrichment plus per-lead personalization) so the emails earn replies instead of just landing in inboxes.",Paid plans scaled by sending volume and number of connected inboxes; a free trial is available. Verify current pricing on their site.,false,,,,,,,,"apollo-io, sendgrid",2026-07-13
miro,Miro,Design & brand,https://miro.com,"Online collaborative whiteboard for diagramming, planning, and mapping workflows on an infinite canvas.","Miro is an online collaborative whiteboard where teams map ideas, diagrams, and workflows on an infinite canvas. You drag sticky notes, shapes, connectors, and frames onto a shared board that multiple people can edit at the same time.

It is widely used for brainstorming, process mapping, flowcharts, and workshops, with a large template library and, more recently, AI features that can generate diagrams or summaries from a prompt.","Alec Saluga used a Miro board in Session 006 as the canvas to walk through his AI iMessage appointment-setter workflow, the same way Justin uses Figma to map his content engine. It is the visual layer for explaining a multi-step agent build to an audience: the trigger, the messages, and the tools attached at each step, laid out so people can follow the logic.

We reach for a whiteboard like Miro whenever an automation has more than two or three steps, because an agent workflow is far easier to design and explain as a diagram than as a wall of text. The board is not the automation, it is the plan you build the automation from. If you are mapping where an agent should trigger, what it should send, and which tools it calls, a shared canvas beats a doc.","Miro is for anyone who thinks better visually: teams running workshops, planning processes, or mapping how a system should work. For our use, it is the place to design an agent or automation before you build it. You do not need the full platform; a single board to lay out the steps is enough to make a complex workflow legible to yourself and to an audience.",Free plan with a limited number of boards; paid plans priced per member unlock more boards and features. Verify current pricing on their site.,true,,,,,,,,"figma, canva",2026-07-13
